Input1,Input2,Output
0.0,0.0,0.24236973247069465
0.0012566370614359172,0.0031415926535897933,0.2638709456749277
0.0025132741228718345,0.006283185307179587,0.2523405733586497
0.0037699111843077517,0.00942477796076938,0.10768074161921568
0.005026548245743669,0.012566370614359173,0.11373818042506068
0.006283185307179586,0.015707963267948967,0.37642408020757767
0.007539822368615503,0.01884955592153876,0.1632058165521031
0.008796459430051421,0.021991148575128554,0.1507337129693947
0.010053096491487338,0.025132741228718346,0.20335117117868878
0.011309733552923255,0.02827433388230814,0.1619599435735605
0.012566370614359171,0.031415926535897934,0.32220757258337607
0.01382300767579509,0.034557519189487726,0.21502562616840062
0.015079644737231007,0.03769911184307752,0.19876765171415472
0.016336281798666925,0.04084070449666731,0.3224271152342031
0.017592918860102842,0.04398229715025711,0.3180526949898463
0.01884955592153876,0.0471238898038469,0.20197792678591403
0.020106192982974676,0.05026548245743669,0.1660220250252591
0.021362830044410593,0.053407075111026485,0.18436406127144261
0.02261946710584651,0.05654866776461628,0.13547812873719509
0.023876104167282426,0.059690260418206076,0.30884981118121874
0.025132741228718343,0.06283185307179587,0.09356282043738247
0.026389378290154263,0.06597344572538566,0.059824932667686834
0.02764601535159018,0.06911503837897545,0.2777663407260439
0.028902652413026097,0.07225663103256524,0.3625206305590312
0.030159289474462014,0.07539822368615504,0.2909895765797668
0.031415926535897934,0.07853981633974483,0.33299407225348465
0.03267256359733385,0.08168140899333462,0.1332320715087717
0.03392920065876977,0.08482300164692443,0.4403297371866769
0.035185837720205684,0.08796459430051422,0.24317486670110167
0.0364424747816416,0.09110618695410401,0.28956726295721963
0.03769911184307752,0.0942477796076938,0.2584757123513861
0.038955748904513435,0.0973893722612836,0.11143940505760713
0.04021238596594935,0.10053096491487339,0.47866866456390406
0.04146902302738527,0.10367255756846318,0.15576486971905176
0.042725660088821185,0.10681415022205297,0.38998533754511455
0.0439822971502571,0.10995574287564276,0.12556087968521942
0.04523893421169302,0.11309733552923255,0.3693026223060496
0.046495571273128936,0.11623892818282235,0.3889188418579884
0.04775220833456485,0.11938052083641215,0.38679669444415776
0.04900884539600077,0.12252211349000194,0.5097350046929333
0.050265482457436686,0.12566370614359174,0.12648247082308503
0.05152211951887261,0.12880529879718153,0.49202165711417956
0.052778756580308527,0.13194689145077132,0.43235948137313596
0.05403539364174444,0.1350884841043611,0.273035812315477
0.05529203070318036,0.1382300767579509,0.1740046954748603
0.05654866776461628,0.1413716694115407,0.3655751017261255
0.057805304826052194,0.1445132620651305,0.44429663220481047
0.05906194188748811,0.14765485471872028,0.22253461060614252
0.06031857894892403,0.15079644737231007,0.2939237741447038
0.061575216010359944,0.15393804002589986,0.12333473547330218
0.06283185307179587,0.15707963267948966,0.36496245083920764
0.06408849013323178,0.16022122533307945,0.1389807188689626
0.0653451271946677,0.16336281798666924,0.21154265096235705
0.06660176425610362,0.16650441064025903,0.2877588352116407
0.06785840131753954,0.16964600329384885,0.48011949692445527
0.06911503837897545,0.17278759594743864,0.24587247134598791
0.07037167544041137,0.17592918860102844,0.16025339534352648
0.07162831250184729,0.17907078125461823,0.2128129928340499
0.0728849495632832,0.18221237390820802,0.30534363468096437
0.07414158662471912,0.1853539665617978,0.30767440936670937
0.07539822368615504,0.1884955592153876,0.4618901940163874
0.07665486074759095,0.1916371518689774,0.21561805910458048
0.07791149780902687,0.1947787445225672,0.2678152251060947
0.07916813487046279,0.19792033717615698,0.2398030481313501
0.0804247719318987,0.20106192982974677,0.26927633224705727
0.08168140899333462,0.20420352248333656,0.35750772678756526
0.08293804605477054,0.20734511513692636,0.4198461387384269
0.08419468311620645,0.21048670779051615,0.4302327307816226
0.08545132017764237,0.21362830044410594,0.5726700124280651
0.08670795723907829,0.21676989309769573,0.18478339584289089
0.0879645943005142,0.21991148575128552,0.21941614862111453
0.08922123136195012,0.22305307840487532,0.529078636301848
0.09047786842338604,0.2261946710584651,0.3136544253264689
0.09173450548482195,0.2293362637120549,0.20242028419908623
0.09299114254625787,0.2324778563656447,0.5759511956448304
0.09424777960769379,0.2356194490192345,0.3342171302954908
0.0955044166691297,0.2387610416728243,0.43871181021343275
