Input1,Output
-1.0,-0.37326975313711697
-0.9997333155523942,-0.03775653025814443
-0.9994665955302601,-0.1320928811754152
-0.9991998399146069,-0.18402188341482786
-0.9989330486864282,-0.33479407752861845
-0.9986662218266991,0.07260460421507217
-0.9983993593163762,-0.023569615628705798
-0.9981324611363991,0.0781178545835555
-0.9978655272676895,-0.010686962714824833
-0.9975985576911505,-0.12970034320336785
-0.9973315523876678,-0.03016322683093159
-0.9970645113381099,-0.06172961761343379
-0.9967974345233263,0.1011815743316839
-0.9965303219241486,-0.1450181315899313
-0.9962631735213917,-0.35050989341252614
-0.9959959892958503,-0.2793657513224262
-0.9957287692283036,-0.065839645939406
-0.9954615132995102,0.10191862719546078
-0.9951942214902125,-0.06688120344512188
-0.9949268937811344,0.007651629704363186
-0.9946595301529808,-0.0897781072854641
-0.9943921305864394,0.10666033190849401
-0.9941246950621793,0.09073306599088714
-0.9938572235608518,0.1462737007673069
-0.9935897160630894,-0.2575944790841871
-0.9933221725495066,0.10693140344960682
-0.9930545930006998,-0.30317959050548815
-0.9927869773972465,-0.2449356042611135
-0.9925193257197064,0.018891006742333682
-0.9922516379486214,0.13077968781254148
-0.9919839140645138,-0.2861972038379173
-0.991716154047888,0.08276972269482881
-0.9914483578792305,-0.02319452200308239
-0.9911805255390085,-0.1829975208236163
-0.9909126570076708,0.0478905307017692
-0.9906447522656492,-0.22010909698606507
-0.9903768112933548,0.02148448649919575
-0.9901088340711811,-0.2770283324386355
-0.9898408205795038,0.036793796191990955
-0.9895727707986787,-0.11427446695512028
-0.9893046847090441,-0.24110041989815778
-0.9890365622909182,0.14256097986803085
-0.9887684035246023,-0.2964758508936746
-0.9885002083903773,-0.2120943943778708
-0.9882319768685067,-0.19732650052601863
-0.987963708939235,-0.2773154061589253
-0.9876954045827873,0.058190571333550455
-0.9874270637793702,-0.19194982752102815
-0.9871586865091709,-0.17139147119469386
-0.98689027275236,-0.17349107525731777
-0.986621822489086,-0.10466112983530353
-0.9863533356994815,-0.2631750328858731
-0.9860848123636575,0.16054783068050427
-0.9858162524617079,-0.08494215455049747
-0.9855476559737067,-0.22823149352963684
-0.9852790228797095,-0.15320198906997115
-0.9850103531597532,-0.1768511159812184
-0.9847416467938532,0.17699256427046087
-0.9844729037620094,-0.15000849028016564
-0.9842041240441995,-0.09226953348883488
-0.9839353076203844,0.10426773269334971
-0.9836664544705044,-0.03854090867840275
-0.983397564574481,-0.07416703182003885
-0.9831286379122163,-0.16968257703426645
-0.9828596744635937,0.0737603177715918
-0.9825906742084766,0.19003728402753012
